event_id,cluster_id,event_name,event_type,status,default_vote,amendment_id,controversy_score,signals,route_hint,evidence_grade,included_in_13_seed,independence_unit,source_ids,source_urls,description
known-fixuniversalnumber,dex-offer-path,fixUniversalNumber,amendment_candidate,Enabled,No,2E2FB9CF8A44EB80F4694D38AADAE9B8B7ADAFD2F092E10068E61C98C4F092B0,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixuniversalnumber|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Simplifies and unifies the code for decimal floating point math. In some cases, this provides slightly better accuracy than the previous code, resulting in calculations whose least significant digits are different than when calculated with the previous code. The different results may cause other edge case differences where precise calculations are used, such as ranking of Offers or processing of payments that use several different paths. Without this amendment, the code continues to use separate calculations for STAmount and IOUAmount objects, and Automated Market Maker (XLS-30d) uses a third class for calculations."
known-fixreducedoffersv2,mpt,fixReducedOffersV2,amendment_candidate,Enabled,No,31E0DA76FB8FB527CADCDF0E61CB9C94120966328EFA9DCA202135BAF319C0BA,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixreducedoffersv2|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment adjusts rounding in an additional case that can cause an order book to become blocked by a ""reduced"" offer. This addresses the same symptoms as the fixReducedOffersV1 amendment, but in an additional case that was not covered by that amendment."
known-fixreducedoffersv1,dex-offer-path,fixReducedOffersV1,amendment_candidate,Enabled,No,27CD95EE8E1E5A537FF2F89B6CEB7C622E78E9374EBD7DCBEDFAE21CD6F16E0A,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixreducedoffersv1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Adjusts rounding to prevent order books from being blocked by reduced offers whose exchange rate is affected by rounding of the remaining amounts. In general, offers can be reduced in 3 ways: The offer can be partially consumed when it is placed.The offer can be partially consumed after being placed into an order book.The offer can be under-funded, meaning its owner has less funds than it specifies. With this amendment, the exchange rate of a reduced offer is rounded such that it is as good or better than the original offer (from the taker's perspective). This allows the reduced offer to be consumed by offers that would have matched the original, full amounts. The rounded amount is no more than 1 drop of XRP or 1e-81 of a token. Without this amendment, an offer with very small amounts remaining can have a a much worse exchange rate after rounding than it had initially. This can cause an offer for very small amounts to ""block"" better offers in the same order book from being taken."
known-fixpaychancancelafter,custody-timing,fixPayChanCancelAfter,amendment_candidate,Enabled,No,D3456A862DC07E382827981CA02E21946E641877F19B8889031CC57FDCAC83E2,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixpaychancancelafter|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Prevents new payment channels from being created with a CancelAfter time that is before the current ledger. Instead, the PaymentChannelCreate transaction fails with the result code tecEXPIRED. Without this amendment, transactions can create a payment channel whose CancelAfter time is in the past. This payment channel is automatically removed as expired by the next transaction to affect it."
known-fixnftokenreserve,nft,fixNFTokenReserve,amendment_candidate,Enabled,No,03BDC0099C4E14163ADA272C1B6F6FABB448CC3E51F522F978041E4B57D9158C,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixnftokenreserve|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment adds a check to the NFTokenAcceptOffer transactor to see if the OwnerCount changes. If it does, it makes an additional check that the reserve requirement is met for the updated owner count."
known-fixinnerobjtemplate2,amm,fixInnerObjTemplate2,amendment_candidate,Enabled,No,9196110C23EA879B4229E51C286180C7D02166DA712559F634372F5264D0EC59,11,follow_up_fix|new_financial_primitive|security_or_liveness|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixinnerobjtemplate2|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment standardizes the way inner objects (Object-type fields in the canonical binary format) have their formats and default values enforced. This is the same type of check that the fixInnerObjTemplate applies to AMM-related fields, but this amendment applies to all other types of inner objects, namely: DisabledValidator field of the NegativeUNL entry.Members of the Majorities array in the Amendments entry.Members of the Signers array of multi-signed transactions.Members of the SignerEntries array of SignerList ledger entries.Several parts of the XChainBridge amendment :Members of the XChainClaimAttestations array in XChainOwnedClaimID ledger entriesMembers of the XChainCreateAccountAttestations array in XChainOwnedCreateAccountClaimID ledger entriesMembers of the XChainClaimAttestationBatch array in XChainAddClaimAttestation transactionsMembers of the XChainCreateAccountAttestationBatch array in XChainAddClaimAttestation transactions It is believed that this change does not affect transaction processing, but it is possible that there are edge cases where it could cause an improperly formatted transaction to receive a different error. With this amendment, any such transactions would fail with a different result code such as temMALFORMED; without this amendment, those transactions would be expected to fail with the code tefEXCEPTION instead."
known-fixinnerobjtemplate,amm,fixInnerObjTemplate,amendment_candidate,Enabled,No,C393B3AEEBF575E475F0C60D5E4241B2070CC4D0EB6C4846B1A07508FAEFC485,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixinnerobjtemplate|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes an issue with accessing the AMM sfTradingFee and sfDiscountedFee fields in the inner objects of sfVoteEntry and sfAuctionSlot. Currently, the inner object template isn't set upon object creation. If the object contains an soeDEFAULT field and is initially set to the default value, accessing the field results in a tefEXCEPTION error in some circumstances. This amendment adds an STObject constructor overload that includes an additional boolean argument to set the inner object template."
known-fixemptydid,mpt,fixEmptyDID,amendment_candidate,Enabled,No,755C971C29971C9F20C6F080F2ED96F87884E40AD19554A5EBECDCEC8A1F77FE,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixemptydid|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment adds an additional check to prevent empty DID ledger entries from being created. With this amendment, if a transaction would create an empty DID, it returns the new error code tecEMPTY_DID instead. Without this amendment, an empty DID can be created, which takes up space and counts towards the owner reserve but does nothing useful. This amendment has no effect unless the DID amendment is enabled."
known-fixammv1-1,amm,fixAMMv1_1,amendment_candidate,Enabled,No,35291ADD2D79EB6991343BDA0912269C817D0F094B02226C1C14AD2858962ED4,11,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk|default_no_surface,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixammv1_1|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,Fixes AMM offer rounding and low quality order book offers from blocking the AMM.
known-fix1578,permissioned-access,fix1578,amendment_candidate,Enabled,Yes,FBD513F1B893AC765B78F250E6FFA6A11B573209D1842ADC787C850696741288,11,asset_control_or_compliance|follow_up_fix|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,False,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fix1578|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"Changes the result codes returned by two transaction types: Changes the OfferCreate transaction to return a new result code, tecKILLED, if the offer used the tfFillOrKill flag and was killed. Without this amendment, the offer is killed but the transaction result is tesSUCCESS.Changes the TrustSet transaction to fail with tecNO_PERMISSION if it tries to enable the No Ripple flag but cannot because the trust line has a negative balance. Without this amendment, the transaction does not enable the No Ripple flag, but the transaction result is tesSUCCESS nonetheless."
known-fixammoverflowoffer,amm,fixAMMOverflowOffer,amendment_candidate,Enabled,Yes,12523DF04B553A0B1AD74F42DDB741DE8DC06A03FC089A0EF197E2A87F1D8107,10,follow_up_fix|new_financial_primitive|user_fund_or_accounting_risk,PROCEED_AFTER_REVIEW,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#fixammoverflowoffer|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"This amendment fixes the improper handling of large synthetic AMM offers in the payment engine. Due to the importance of this fix, the default vote in the source code has been set to YES."
known-lendingprotocol,vault-lending,LendingProtocol,amendment_candidate,Open for Voting,No,565B90CA1AB2B9D42208ED10884188C64F9E19083DECB9634AAF06EB03299509,9,new_financial_primitive|user_fund_or_accounting_risk|active_vote_surface|default_no_surface,HOLD_FOR_CHALLENGE,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#lendingprotocol|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,"The Lending Protocol enables on-chain, fixed-term, uncollateralized loans using pooled funds from a Single Asset Vault. This implementation relies on off-chain underwriting and risk management to assess the creditworthiness of borrowers, but offers configurable, peer-to-peer loans. Specification: XLS-66."
known-batch,batch,Batch,amendment_candidate,Obsolete,No,894646DD5284E97DECFE6674A6D6152686791C4A95F8C132CCA9BAF9E5812FB6,9,known_bug|obsolete_or_disabled|default_no_surface,REJECT,A,True,real_amendment_or_named_protocol_event,xrpl_known_amendments_page_data|xrpl_known_amendments|xrpl_amendments_process,https://xrpl.org/resources/known-amendments#batch|https://xrpl.org/page-data/resources/known-amendments/data.json|https://xrpl.org/docs/concepts/networks-and-servers/amendments/,Allows multiple transactions to be bundled into a batch that's processed all together. Standard: XLS-56 This amendment was disabled in v3.1.1 due to a bug. It will be replaced by BatchV1_1 in a future release.
